Date:,15/08/2017,
coordinates:,"45.070312, 7.6868565",
location:,"Piazza Castello, 15, 10124 Torino, Italy",
hour,Elevation,Azimuth
05:30:52,-833,69.08
5:45:00,1.51,71.58
6:00:00,4.04,74.2
6:15:00,6.6,76.8
6:30:00,9.19,79.38
6:45:00,11.8,81.96
7:00:00,14.43,84.54
7:15:00,17.07,87.15
7:30:00,19.72,89.78
7:45:00,22.36,92.46
8:00:00,25,95.2
8:15:00,27.63,98.01
8:30:00,30.24,100.9
8:45:00,32.82,103.91
9:00:00,35.38,107.05
9:15:00,37.88,110.34
9:30:00,40.33,113.81
9:45:00,42.72,117.48
10:00:00,45.02,121.39
10:15:00,47.23,125.57
10:30:00,49.32,130.05
10:45:00,51.27,134.86
11:00:00,53.06,140.03
11:15:00,54.66,145.58
11:30:00,56.04,151.51
11:45:00,57.17,157.8
12:00:00,58.03,164.4
12:15:00,58.58,171.26
12:30:00,58.82,178.25
12:45:00,58.74,185.28
13:00:00,58.33,192.21
13:15:00,57.62,198.95
13:30:00,56.61,205.39
13:45:00,55.35,211.5
14:00:00,53.85,217.23
14:15:00,52.15,222.58
14:30:00,50.27,227.56
14:45:00,48.24,232.19
15:00:00,46.08,236.51
15:15:00,43.82,240.55
15:30:00,41.47,244.33
15:45:00,39.05,247.89
16:00:00,36.56,251.26
16:15:00,34.03,254.46
16:30:00,31.46,257.53
16:45:00,28.85,260.48
17:00:00,26.23,263.32
17:15:00,23.59,266.09
17:30:00,20.94,268.79
17:45:00,18.29,271.44
18:00:00,15.64,274.06
18:15:00,13,276.65
18:30:00,10.38,279.23
18:45:00,7.77,281.8
19:00:00,5.19,284.39
19:15:00,2.64,286.99
19:30:00,0.12,289.63
19:35:45,-833,290.64
