HelioClim-3 Database of Solar Irradiance v5 (derived from satellite data),,,,,,,,,,
Provider,MINES ParisTech / Armines / Transvalor (France),,,,,,,,,
More information at,http://www.soda-is.com,,,,,,,,,
Site latitude (positive means North),45070,,,,,,,,,
Site longitude (positive means East),7687,,,,,,,,,
Elevation (m),247,,,,,,,,,
Take into account the shadows due to relief?,1 (yes, with horizon computed from SRTM),,,,,,,,
Date beginning,2004-02-01,,,,,,,,,
Date end,2005-12-31,,,,,,,,,
Time reference (decimal hour),TU,,,,,,,,,
Summarization (period of integration),15 minutes (min),,,,,,,,,
Date - Instant,The date or instant given for each value corresponds to the end of the summarization,,,,,,,,,
Irradiance (W/m2),Irradiance averaged over the period (-999 if no data),,,,,,,,,
Lower bound (W/m2),Uncertainty in irradiance. Lower bound,,,,,,,,,
Upper bound (W/m2),Uncertainty in irradiance. Upper bound. There is a 68% chance that the actual value is comprised between lower and upper bounds,,,,,,,,,
Code,0: no data, 1: sun below horizon, 2: satellite assessment, 5: interpolation in time,,,,,,
Top of Atmosphere (W/m2),Irradiance averaged over the period at the top of the atmosphere (extraterrestrial),,,,,,,,,
Clear-Sky (W/m2),Typical irradiance averaged over the period if the sky were clear,,,,,,,,,
Irradiation (Wh/m2),Irradiation over the period (-999 if no data),,,,,,,,,
,,,,,,,,,,
15 min mean irradiance and irradiation from HelioClim-3,,,,,,,,,,
Year,Month,Day,Time,Irradiance,Lower bound,Upper bound,Code,Top of Atmosphere,Clear-Sky,Irradiation
2004,2,1,00.2500,0,0,0,1,0,0,0.0000
2004,2,1,00.5000,0,0,0,1,0,0,0.0000
2004,2,1,00.7500,0,0,0,1,0,0,0.0000
2004,2,1,01.0000,0,0,0,1,0,0,0.0000
2004,2,1,01.2500,0,0,0,1,0,0,0.0000
2004,2,1,01.5000,0,0,0,1,0,0,0.0000
2004,2,1,01.7500,0,0,0,1,0,0,0.0000
2004,2,1,02.0000,0,0,0,1,0,0,0.0000
2004,2,1,02.2500,0,0,0,1,0,0,0.0000
2004,2,1,02.5000,0,0,0,1,0,0,0.0000
2004,2,1,02.7500,0,0,0,1,0,0,0.0000
2004,2,1,03.0000,0,0,0,1,0,0,0.0000
2004,2,1,03.2500,0,0,0,1,0,0,0.0000
2004,2,1,03.5000,0,0,0,1,0,0,0.0000
2004,2,1,03.7500,0,0,0,1,0,0,0.0000
2004,2,1,04.0000,0,0,0,1,0,0,0.0000
2004,2,1,04.2500,0,0,0,1,0,0,0.0000
2004,2,1,04.5000,0,0,0,1,0,0,0.0000
2004,2,1,04.7500,0,0,0,1,0,0,0.0000
2004,2,1,05.0000,0,0,0,1,0,0,0.0000
2004,2,1,05.2500,0,0,0,1,0,0,0.0000
2004,2,1,05.5000,0,0,0,1,0,0,0.0000
2004,2,1,05.7500,0,0,0,1,0,0,0.0000
2004,2,1,06.0000,0,0,0,1,0,0,0.0000
2004,2,1,06.2500,0,0,0,1,0,0,0.0000
2004,2,1,06.5000,0,0,0,1,0,0,0.0000
2004,2,1,06.7500,0,0,0,1,0,0,0.0000
2004,2,1,07.0000,0,0,0,5,3,0,0.0270
2004,2,1,07.2500,5,0,13,5,49,20,1.3923
2004,2,1,07.5000,16,0,38,5,106,49,4.0050
2004,2,1,07.7500,27,0,66,5,162,85,6.9487
2004,2,1,08.0000,40,0,98,5,215,125,10.2433
2004,2,1,08.2500,54,0,113,5,267,165,13.5005
2004,2,1,08.5000,65,0,137,2,316,206,16.3565
2004,2,1,08.7500,94,0,198,2,362,245,23.6027
2004,2,1,09.0000,128,0,233,2,406,283,32.1077
2004,2,1,09.2500,192,13,286,2,447,318,48.1466
2004,2,1,09.5000,254,112,356,2,484,352,63.5075
2004,2,1,09.7500,301,133,423,2,519,383,75.4974
2004,2,1,10.0000,298,132,419,2,549,411,74.7238
